datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
df_num_cat_without,LightGBM_Regression,kfold,18009.64259861486,21600.054491357812,2459.5043060625053,None
df_num_cat_without,Linear_Regression,repeatedkfold,17045.00763772765,286427996494.5542,1398860776860.4841,None
df_num_cat_without,KNeighbors_Regression,repeatedkfold,29604.30511950898,41176.99472698893,5538.624758128459,None
df_num_cat_without,Decision_Tree,repeatedkfold,27196.730957646523,36267.42933487901,4694.021813533588,None
df_num_cat_without,Random_Forest,repeatedkfold,15771.542422534534,24237.843568425233,3551.227057770554,None
df_num_cat_without,SGD_Regression,repeatedkfold,7880452417933117.0,7.768789363180709e+16,4.871417928943915e+16,None
df_num_cat_without,Ridge_Regression,repeatedkfold,16244.76775237144,21759.47087074381,2842.5351353669535,None
df_num_cat_without,Lasso_Regression,repeatedkfold,16987.123268943225,22440.450013609487,2814.729011429015,None
df_num_cat_without,ElasticNet_Regression,repeatedkfold,19137.02062485569,25245.988109794816,3551.857715886393,None
df_num_cat_without,Logistic_Regression,repeatedkfold,41492.82010563804,52261.508567027726,6097.187246426334,None
df_num_cat_without,LinearSVR,repeatedkfold,28937.90264794699,42793.069789518144,12671.310877801501,None
df_num_cat_without,GradientBoosting_Regression,repeatedkfold,15903.28348796136,21857.51197935074,3214.11331190749,None
df_num_cat_without,XGBoost_Regression,repeatedkfold,17739.477646056162,24119.956437651083,3069.701787776014,None
df_num_cat_without,LightGBM_Regression,repeatedkfold,17700.561348760308,22223.76759336089,3198.4506475820176,None
df_num_cat_without,Linear_Regression,stratifiedkfold,20707.28596645775,1134842045.2638183,1905445946.1561048,None
df_num_cat_without,KNeighbors_Regression,stratifiedkfold,33462.15769595418,41148.70399228425,5164.396620044864,None
df_num_cat_without,Decision_Tree,stratifiedkfold,30978.396172030993,36470.74757834098,4026.9290397568943,None
df_num_cat_without,Random_Forest,stratifiedkfold,20519.344049377203,24254.900159865083,2365.4871766648394,None
df_num_cat_without,SGD_Regression,stratifiedkfold,5797116957779416.0,4.789303694428332e+16,3.9045733298093256e+16,None
df_num_cat_without,Ridge_Regression,stratifiedkfold,17404.137041608963,21618.225977558097,1855.6540587049976,None
df_num_cat_without,Lasso_Regression,stratifiedkfold,17769.698479841056,22123.763718844843,1957.0430590607205,None
df_num_cat_without,ElasticNet_Regression,stratifiedkfold,20164.64499608315,25140.909908426347,3472.570495446483,None
df_num_cat_without,Logistic_Regression,stratifiedkfold,37528.78055300519,52164.62585502684,7833.255157642883,None
df_num_cat_without,LinearSVR,stratifiedkfold,27252.16186293164,44924.440362497975,17162.50298613174,None
df_num_cat_without,GradientBoosting_Regression,stratifiedkfold,18685.903784237777,21841.996758846988,2121.9810294238537,None
df_num_cat_without,XGBoost_Regression,stratifiedkfold,17986.513532602094,23278.967659066948,2964.2412883094644,None
df_num_cat_without,LightGBM_Regression,stratifiedkfold,17666.33177206921,21959.10988066088,2354.7673161185107,None
df_num_cat_without,Linear_Regression,shufflesplit,20692.966747942504,484552522.139953,656207843.8038645,None
df_num_cat_without,KNeighbors_Regression,shufflesplit,38211.90374807837,41682.31248559322,2328.873322376782,None
df_num_cat_without,Decision_Tree,shufflesplit,32601.25277680892,37510.315471534566,2990.6374144161236,None
df_num_cat_without,Random_Forest,shufflesplit,21409.798574333254,23488.15223333047,2061.471014690925,None
df_num_cat_without,SGD_Regression,shufflesplit,7049323522409715.0,5.636507422159832e+16,2.732825299638387e+16,None
df_num_cat_without,Ridge_Regression,shufflesplit,19402.207209394615,21802.089527657416,1494.4885356917205,None
df_num_cat_without,Lasso_Regression,shufflesplit,20613.649940537038,22934.974366969353,1227.6537014596206,None
df_num_cat_without,ElasticNet_Regression,shufflesplit,21990.21388358974,24676.996117308583,2225.442717163844,None
df_num_cat_without,Logistic_Regression,shufflesplit,48631.331751352904,52002.43286740183,2450.152997542343,None
df_num_cat_without,LinearSVR,shufflesplit,31664.93448574765,41344.4446570773,9886.505956663217,None
df_num_cat_without,GradientBoosting_Regression,shufflesplit,19257.330129474558,21404.99219853813,1924.4603082171582,None
df_num_cat_without,XGBoost_Regression,shufflesplit,21191.370427166712,23468.19557638872,1701.460164431264,None
df_num_cat_without,LightGBM_Regression,shufflesplit,19720.785124951424,21717.53193947051,2089.086356025568,None
df_num_cat_without_pt,Linear_Regression,cross_val_score,188732817239545.9,8773175092883792.0,2.4383159352332972e+16,None
df_num_cat_without_pt,KNeighbors_Regression,cross_val_score,30661.62369913792,29990.222043255373,3958.761472444156,None
df_num_cat_without_pt,Decision_Tree,cross_val_score,38932.83260783327,37291.1558875675,5149.216970765521,None
df_num_cat_without_pt,Random_Forest,cross_val_score,27283.500786082222,23975.468756421255,3480.767645618671,None
df_num_cat_without_pt,SGD_Regression,cross_val_score,23791.41182791013,22332.31003757921,3170.7156791799566,None
df_num_cat_without_pt,Ridge_Regression,cross_val_score,24231.527049326418,22467.713848010382,3123.507388250785,None
