,datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
9,df_logalized_scaled,LinearSVR,shufflesplit,157736.81983312903,164060.65038840953,2549.7763711076555,None
10,df_logalized_scaled,GradientBoosting_Regression,shufflesplit,20413.83344797055,22350.88068564667,1642.8238781943712,None
11,df_logalized_scaled,XGBoost_Regression,shufflesplit,21422.13335424207,25085.438241742213,2014.2542560332445,None
12,df_logalized_scaled,LightGBM_Regression,shufflesplit,19974.077940325576,23062.10258606592,2144.708305390545,None
0,df_logalized_not_scaled,Linear_Regression,cross_val_score,23215.58250592287,25259.813136951365,2323.7168739745234,None
1,df_logalized_not_scaled,KNeighbors_Regression,cross_val_score,55748.74058162562,48118.22758055055,5021.069532126463,None
2,df_logalized_not_scaled,Decision_Tree,cross_val_score,36305.66807137276,39382.63705164053,6635.834610321629,None
3,df_logalized_not_scaled,Random_Forest,cross_val_score,28478.753989357196,25524.030558541053,3721.1782350906883,None
4,df_logalized_not_scaled,SGD_Regression,cross_val_score,3.591493936334097e+16,4.012760761559416e+16,3.1092220556954932e+16,None
5,df_logalized_not_scaled,Ridge_Regression,cross_val_score,22349.834597542285,22260.990014203548,2515.6373229364,None
6,df_logalized_not_scaled,Lasso_Regression,cross_val_score,22508.704718904442,24385.63491178799,2045.6028597175466,None
7,df_logalized_not_scaled,ElasticNet_Regression,cross_val_score,32061.996599532322,29538.449401464975,4278.618573772351,None
8,df_logalized_not_scaled,Logistic_Regression,cross_val_score,79534.1473377717,73603.32472614346,7196.580038648444,None
9,df_logalized_not_scaled,LinearSVR,cross_val_score,47566.4585453361,55490.09190632512,21693.542861817004,None
10,df_logalized_not_scaled,GradientBoosting_Regression,cross_val_score,24485.574467606566,22827.938809246472,3647.9886276651882,None
11,df_logalized_not_scaled,XGBoost_Regression,cross_val_score,29503.21055966164,24865.21226401428,3318.905056086615,None
12,df_logalized_not_scaled,LightGBM_Regression,cross_val_score,29050.329516860475,22772.58836681738,3286.346715833547,None
0,df_logalized_not_scaled,Linear_Regression,kfold,21432.880484628113,25007.973232434488,3371.603461249397,None
1,df_logalized_not_scaled,KNeighbors_Regression,kfold,41580.17605654915,48785.08230231979,4612.009126661609,None
2,df_logalized_not_scaled,Decision_Tree,kfold,31465.17309316141,37279.05437313169,3561.342174475559,None
3,df_logalized_not_scaled,Random_Forest,kfold,21752.68843758087,25018.579350560063,2686.535523360449,None
4,df_logalized_not_scaled,SGD_Regression,kfold,1.5221786041828126e+16,8.569427058135075e+16,8.407410470961949e+16,None
5,df_logalized_not_scaled,Ridge_Regression,kfold,19304.67257599863,22429.119029609476,2160.714995033706,None
6,df_logalized_not_scaled,Lasso_Regression,kfold,21243.667052066867,24409.10157695316,3130.196749682652,None
7,df_logalized_not_scaled,ElasticNet_Regression,kfold,24263.905726360368,29761.346135070333,3020.661851416097,None
